player_name,neutral_skill_sg,neutral_skill_index,data_depth_class,baseline_confidence_band,true_sg_total,true_sg_ott,true_sg_app,true_sg_arg,true_sg_putt,sg_putt_surface,recent_form_index,form_score_adjusted,comp_course_adjustment_prelim,venue_history_rounds,venue_history_sg,named_risk_tags,likely_anti_pattern_flags,missing_data_notes
Scottie Scheffler,-0.53,100.0,DEBUT,not_available_in_v3_source,2.58,0.869,1.095,0.464,0.658,not_available_in_v3_source,43.64,43.64,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Tommy Fleetwood,0.47,96.77,FULL,not_available_in_v3_source,2.48,0.567,0.626,0.326,0.516,not_available_in_v3_source,55.64,55.64,not_available_in_v3_source,1,1.302,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Matt Fitzpatrick,0.24,97.42,FULL,not_available_in_v3_source,2.33,0.296,0.856,0.636,0.356,not_available_in_v3_source,52.88,52.88,not_available_in_v3_source,1,0.802,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Si Woo Kim,0.35,93.55,FULL,not_available_in_v3_source,1.93,0.628,0.788,0.301,-0.185,not_available_in_v3_source,54.2,54.2,not_available_in_v3_source,1,0.022,putting volatility on links fescue,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Russell Henley,-0.54,95.48,FULL,not_available_in_v3_source,1.22,0.471,0.702,0.179,0.408,not_available_in_v3_source,43.52,43.52,not_available_in_v3_source,1,1.052,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Rory McIlroy,-0.05,99.35,FULL,not_available_in_v3_source,2.16,0.984,0.512,0.215,0.566,not_available_in_v3_source,49.4,49.4,not_available_in_v3_source,1,2.802,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Jon Rahm,-0.49,98.06,FULL,not_available_in_v3_source,1.6,0.849,0.628,0.277,0.348,not_available_in_v3_source,44.12,44.12,not_available_in_v3_source,1,0.802,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Viktor Hovland,0.39,90.32,DEBUT,not_available_in_v3_source,1.83,0.232,0.828,0.185,0.19,not_available_in_v3_source,54.68,54.68,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Cameron Young,-1.16,98.71,DEBUT,not_available_in_v3_source,0.97,0.812,0.646,0.31,0.362,not_available_in_v3_source,36.08,36.08,not_available_in_v3_source,0,,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Xander Schauffele,-0.8,96.13,FULL,not_available_in_v3_source,1.01,0.726,0.673,0.128,0.188,not_available_in_v3_source,40.4,40.4,not_available_in_v3_source,1,1.802,standard major championship variance,No anti-pattern flags. Clean structural profile — no recurring weak-link traits identified for Royal Birkdale.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
J.J. Spaun,0.08,88.39,DEBUT,not_available_in_v3_source,1.49,0.441,0.965,0.207,-0.21,not_available_in_v3_source,50.96,50.96,not_available_in_v3_source,0,,putting volatility on links fescue,Anti-pattern flags: Poor Links Putter — below-field on fescue; links surfaces amplify weak putting.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
Collin Morikawa,-0.04,89.68,DEBUT,not_available_in_v3_source,1.38,0.459,0.915,0.006,0.038,not_available_in_v3_source,49.52,49.52,not_available_in_v3_source,0,,full links debut uncertainty,Anti-pattern flags: Debut Risk — no Birkdale or Open data; full environmental uncertainty.,"Fields marked not_available_in_v3_source are packaging gaps, not imputed values."
