player,debut_class,debut_penalty_sg,vts_post_penalty,vts_tier,actual_finish,made_cut,verdict
Zach Bauchou,B,-1.75,74.1,2,T67,Y,CALIBRATED — finish within tier expectation
Sudarshan Yellamaraju,B,-1.75,70.6,2,CUT,N,PENALTY DIRECTIONALLY CORRECT — missed cut
Taylor Pendrith,B,-1.75,69.4,2,CUT,N,PENALTY DIRECTIONALLY CORRECT — missed cut
Michael Brennan,B,-1.75,69.4,2,T33,Y,OVER-PENALIZED — outperformed debut expectation
Haotong Li,B,-1.75,66.8,2,CUT,N,PENALTY DIRECTIONALLY CORRECT — missed cut
Blades Brown,A,-4.00,62.1,3,T12,Y,OVER-PENALIZED — outperformed debut expectation
Johnny Keefer,B,-1.75,61.7,3,CUT,N,PENALTY DIRECTIONALLY CORRECT — missed cut
Chandler Blanchet,B,-1.75,61.6,3,CUT,N,PENALTY DIRECTIONALLY CORRECT — missed cut
A.J. Ewart,A,-4.00,61.6,3,T71,Y,UNDER-PENALIZED or within variance
Patrick Adler,A,-4.00,59.9,3,CUT,N,PENALTY DIRECTIONALLY CORRECT — missed cut
Keita Nakajima,A,-4.00,58.1,3,T46,Y,CALIBRATED — finish within tier expectation
Matthieu Pavon,A,-4.00,53.9,3,CUT,N,PENALTY DIRECTIONALLY CORRECT — missed cut
Luke Gutschewski,A,-4.00,50.9,3,T51,Y,CALIBRATED — finish within tier expectation
Ryan Voois,A,-4.00,48.0,4,77,Y,UNDER-PENALIZED or within variance
Jeffrey Kang,A,-4.00,45.7,4,CUT,N,PENALTY DIRECTIONALLY CORRECT — missed cut
Kensei Hirata,A,-4.00,44.2,4,CUT,N,PENALTY DIRECTIONALLY CORRECT — missed cut
Davis Chatfield,A,-4.00,42.4,4,T33,Y,OVER-PENALIZED — outperformed debut expectation
Pontus Nyholm,A,-4.00,42.1,4,T26,Y,OVER-PENALIZED — outperformed debut expectation
Preston Stout,A,-4.00,41.2,4,T15,Y,OVER-PENALIZED — outperformed debut expectation
John Vanderlaan,A,-4.00,40.5,4,CUT,N,PENALTY DIRECTIONALLY CORRECT — missed cut
Marcelo Rozo,A,-4.00,38.4,4,CUT,N,PENALTY DIRECTIONALLY CORRECT — missed cut
Danny Walker,A,-4.00,33.4,5,CUT,N,PENALTY DIRECTIONALLY CORRECT — missed cut
Christo Lamprecht,A,-4.00,31.3,5,CUT,N,PENALTY DIRECTIONALLY CORRECT — missed cut
Mason Howell,A,-4.00,30.6,5,CUT,N,PENALTY DIRECTIONALLY CORRECT — missed cut
