player_name,dg_id,event_name,course_name,VenueDNA_rank,VenueDNA_tier,VenueDNA_final_projection,VenueDNA_neutral_skill,VenueDNA_venue_fit_delta,VenueDNA_venue_history_delta,VenueDNA_penalties_total,VenueDNA_confidence_band,VenueDNA_primary_case,VenueDNA_key_risk,VenueDNA_failure_condition,VenueDNA_conviction,VenueDNA_trait_approach,VenueDNA_trait_long_iron_150_225,VenueDNA_trait_total_driving,VenueDNA_trait_par5_scoring,VenueDNA_trait_easy_green_putting,VenueDNA_trait_course_history,anti_pattern_flags,risk_flags,tags,r1_tee_time,r1_wave,r1_start_hole,r2_tee_time,r2_wave,r2_start_hole,DG_finalprediction_benchmark,DG_stddev_benchmark,DG_coursefittotaladj_benchmark
"Scheffler, Scottie",18417,3M Open,TPC Twin Cities,1,T1,99.3,100.0,-0.185,0,0,high,Long-iron SG of +0.049/shot from 150-200 fw is the primary birdie creation mechanism at TPC; 46% of weekly approaches fall in this range,model risk is primarily regression to mean if 150-200 fw performance falls below recent trend,A regression in approach SG from the l12 trend — especially from 150-200 yards — converts this profile from contender to T3/T4 finisher; no short-game bailout exists at TPC,high,75.7,72.1,86.8,43.8,73.2,45.0,,,T1|approach_elite|long_iron_elite,7:29 AM,early,10,12:44 PM,late,1,2.827,2.742,0.032
"McNealy, Maverick",18634,3M Open,TPC Twin Cities,2,T1,76.9,76.3,0.0977,0.006,-8.0,low,Similar-course delta fit (+0.098 SG/round) exceeds the field median; profile translates to courses with TPC's approach-length and water-driving profile,driving accuracy flag active (adj -0.025); penalty exposure on 9 water-threatened driving holes is the primary downside scenario; 150-200 fw SG below neutral; weak long-iron week at TPC produces a ceiling far short of leaderboard contention; putting-reliant profile; easy bentgrass greens compress the putting edge that drives results at trickier venues; short-game-only profile; TPC does not reward scrambling over ball-striking,Driving wayward into water threats on 9 holes cascades into penalty strokes and poor approach positions; a -4 or worse driving week eliminates contention,medium,54.4,50.4,64.5,41.0,75.3,50.3,accuracy_risk|short_game_only|putting_dependency|long_iron_deficit,accuracy_risk|short_game_only|putting_dependency|long_iron_deficit,T1|venue_fit_upside|flag_accuracy_risk|flag_short_game_only|flag_putting_dependency|flag_long_iron_deficit,12:44 PM,late,1,7:29 AM,early,10,1.205,2.796,-0.078
"Koivun, Jackson",32319,3M Open,TPC Twin Cities,3,T1,75.0,70.9,0.3154,0,-2.0,medium,Long-iron SG of +0.091/shot from 150-200 fw is the primary birdie creation mechanism at TPC; 46% of weekly approaches fall in this range,short-game-only profile; TPC does not reward scrambling over ball-striking,A regression in approach SG from the l12 trend — especially from 150-200 yards — converts this profile from contender to T3/T4 finisher; no short-game bailout exists at TPC,high,72.6,84.6,62.8,49.5,52.2,45.0,short_game_only,short_game_only,T1|approach_elite|long_iron_elite|venue_fit_upside|flag_short_game_only,12:33 PM,late,1,7:18 AM,early,10,0.828,2.769,0.008
"Kitayama, Kurt",21891,3M Open,TPC Twin Cities,4,T1,72.3,73.3,-0.0134,0.064,0,high,Long-iron SG of +0.043/shot from 150-200 fw is the primary birdie creation mechanism at TPC; 46% of weekly approaches fall in this range,model risk is primarily regression to mean if 150-200 fw performance falls below recent trend,A regression in approach SG from the l12 trend — especially from 150-200 yards — converts this profile from contender to T3/T4 finisher; no short-game bailout exists at TPC,high,71.8,73.1,70.7,39.8,51.8,76.9,,,T1|approach_elite|long_iron_elite,12:33 PM,late,1,7:18 AM,early,10,1.162,2.817,-0.074
"Woodland, Gary",12577,3M Open,TPC Twin Cities,5,T1,71.9,64.7,0.5,0.028,0,high,Approach trait score 65/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,model risk is primarily regression to mean if 150-200 fw performance falls below recent trend,A regression in approach SG from the l12 trend — especially from 150-200 yards — converts this profile from contender to T3/T4 finisher; no short-game bailout exists at TPC,high,64.6,67.0,80.2,36.2,61.4,60.4,,,T1|approach_solid|venue_fit_upside,12:44 PM,late,1,7:29 AM,early,10,0.347,2.816,-0.102
"Matsuyama, Hideki",13562,3M Open,TPC Twin Cities,6,T2,71.3,75.5,-0.2215,-0.024,0,high,Elite approach SG (+0.64 per round in 2026) produces the approach volume needed in TPC's birdiefest but ball-striking-driven scoring environment,model risk is primarily regression to mean if 150-200 fw performance falls below recent trend,A regression in approach SG from the l12 trend — especially from 150-200 yards — converts this profile from contender to T3/T4 finisher; no short-game bailout exists at TPC,high,75.7,71.5,49.4,56.3,59.0,36.5,,,T2|approach_elite|long_iron_elite,7:29 AM,early,10,12:44 PM,late,1,1.138,2.733,0.031
"Kim, Tom",24766,3M Open,TPC Twin Cities,7,T2,70.3,63.3,0.4828,0.011,0,high,Elite approach SG (+0.68 per round in 2026) produces the approach volume needed in TPC's birdiefest but ball-striking-driven scoring environment,model risk is primarily regression to mean if 150-200 fw performance falls below recent trend,A regression in approach SG from the l12 trend — especially from 150-200 yards — converts this profile from contender to T3/T4 finisher; no short-game bailout exists at TPC,high,63.5,59.2,49.1,55.3,44.8,52.6,,,T2|approach_solid|venue_fit_upside,12:55 PM,late,1,7:40 AM,early,10,1.12,2.751,0.078
"Conners, Corey",17576,3M Open,TPC Twin Cities,8,T2,69.7,67.0,0.2096,0.004,0,high,Long-iron SG of +0.046/shot from 150-200 fw is the primary birdie creation mechanism at TPC; 46% of weekly approaches fall in this range,model risk is primarily regression to mean if 150-200 fw performance falls below recent trend,A regression in approach SG from the l12 trend — especially from 150-200 yards — converts this profile from contender to T3/T4 finisher; no short-game bailout exists at TPC,high,77.1,74.9,55.9,57.4,43.5,49.4,,,T2|approach_elite|long_iron_elite|venue_fit_upside,7:18 AM,early,10,12:33 PM,late,1,0.884,2.749,0.088
"Harman, Brian",8825,3M Open,TPC Twin Cities,9,T2,69.6,63.7,0.4115,0.023,0,high,Approach trait score 67/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,model risk is primarily regression to mean if 150-200 fw performance falls below recent trend,A regression in approach SG from the l12 trend — especially from 150-200 yards — converts this profile from contender to T3/T4 finisher; no short-game bailout exists at TPC,high,67.0,59.9,44.9,64.2,54.4,58.1,,,T2|approach_solid|venue_fit_upside,7:40 AM,early,10,12:55 PM,late,1,0.614,2.72,0.134
"Meissner, Mac",28159,3M Open,TPC Twin Cities,10,T2,68.6,67.3,0.1216,0.016,0,high,Approach trait score 64/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,model risk is primarily regression to mean if 150-200 fw performance falls below recent trend,A regression in approach SG from the l12 trend — especially from 150-200 yards — converts this profile from contender to T3/T4 finisher; no short-game bailout exists at TPC,high,64.0,64.2,50.0,51.3,64.8,54.9,,,T2|approach_solid|venue_fit_upside,7:07 AM,early,10,12:22 PM,late,1,0.778,2.681,-0.007
"Smith, Jordan",18586,3M Open,TPC Twin Cities,11,T2,68.1,63.3,0.3447,0,0,high,Approach trait score 67/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,model risk is primarily regression to mean if 150-200 fw performance falls below recent trend,A regression in approach SG from the l12 trend — especially from 150-200 yards — converts this profile from contender to T3/T4 finisher; no short-game bailout exists at TPC,high,66.6,70.7,72.1,47.0,44.0,45.0,,,T2|approach_solid|long_iron_elite|venue_fit_upside,6:56 AM,early,1,12:11 PM,late,10,0.8,2.771,0.043
"Mitchell, Keith",17365,3M Open,TPC Twin Cities,12,T2,66.5,67.6,-0.0328,0.024,0,high,Approach trait score 61/100; consistent iron play into receptive bentgrass greens creates sustainable birdie conversion without reliance on putting rescue,model risk is primarily regression to mean if 150-200 fw performance falls below recent trend,A regression in approach SG from the l12 trend — especially from 150-200 yards — converts this profile from contender to T3/T4 finisher; no short-game bailout exists at TPC,high,61.2,61.8,80.7,36.2,48.4,58.5,,,T2|approach_solid|venue_experience,7:51 AM,early,10,1:06 PM,late,1,0.898,2.803,-0.105
