player,pre_tourney_tier,pre_tourney_rank,pre_tourney_vts,final_finish,final_score,miss_layer,evidence,write_back_recommended
"Hovland, Viktor",3,8,58.1,"1st (PO)",-21,VenueHistoryDelta + Model Variance,"Rank 8 → 1st is within model probability range. CH SG +1.423 over 19 rounds (one of the strongest in field). OTT surge +3.962 (1st) and PUTT heat +4.335 (9th) are event-week variance not predictable from 12m profile (SG-OTT 12m = +0.15, SG-PUTT 12m = +0.15).",Y
"Morikawa, Collin",3,14,52.1,3rd,-20,VenueFitDelta,"Rank 14 → 3rd. SG-APP +6.907 (2nd in field), SG-OTT +3.593 (2nd). Model weighted poor_birdie_conv flag suppressed him but his approach ceiling at this venue was structurally undervalued. 12m SG-APP = +0.81 supported higher venue fit score.",Y
"Clark, Wyndham",4,23,48.9,T5,-18,Model Variance,"Rank 23 → T5. SG-PUTT +8.712 (1st in field) vs SG-APP -2.957 (57th). Bomb_and_spray fired. Win entirely driven by single-week putting outlier — no structural model fix warranted. APP and OTT were poor as predicted.",N
"Fitzpatrick, Alex",5,57,34.4,T7,-17,VenueFitDelta,"Tier 5 (rank 57) → T7. SG-APP +5.518 (5th in field). Wedge_liability flag over-penalized his tier assignment. His actual approach play was elite. ARG_Rough trait score above threshold means the wedge_liability penalty was too aggressive.",Y
"Conners, Corey",4,51,37.8,T7,-17,VenueFitDelta,"Rank 51 → T7. SG-APP +2.916 (12th), SG-ARG +3.492 (7th). Anti-patterns (poor_birdie_conv; rough_approach_liab) over-suppressed. ARG performance directly contradicts rough_approach_liab flag. Scrambling quality not adequately tested before flag applied.",Y
"MacIntyre, Robert",4,43,40.7,T10,-16,VenueFitDelta,"Rank 43 → T10. SG-APP +3.598 (10th). Bomb_and_spray + wedge_liability flags assigned; actual approach was 10th in the 72-player field. CH SG +1.686 (8 rounds) was not adequately weighted for a Tier 4 player. Partial write-back: CH integration for Tier 4+ players with >=8 rounds.",Y
"Fleetwood, Tommy",2,2,67.6,T14,-14,VenueFitDelta,"Rank 2 → T14. SG-APP -0.260 (38th). Model's 2nd-ranked player had below-average approach in a tournament where approach was the primary scoring driver. 18-round CH SG (+1.76) over-blended into expected approach performance. CH rounds span 5+ years; recency decay not applied.",Y
"Spaun, J.J.",4,24,47.7,T7,-17,Model Variance,"Rank 24 → T7. SG-PUTT +5.007 (5th in field). No pre-tournament signal for hot putting week. No structural model fix — pure birdie-fest putting variance.",N
"Griffin, Ben",4,48,40.9,T10,-16,Model Variance,"Rank 48 → T10. SG-PUTT +3.412 (14th), SG-APP +2.722 (T14). Modest positive outlier in putting + solid approach. Within acceptable variance for a 72-player birdie-fest. Not a structural miss.",N
"Bhatia, Akshay",3,11,54.1,T5,-18,Model Variance,"Rank 11 → T5. SG-PUTT +5.102 (4th). Mild positive surprise driven by above-baseline putting. Rank delta = +6. Within model range for a Tier 3 player.",N
"Burns, Sam",3,18,50.3,T12,-15,Model Variance,"Rank 18 → T12. Positive result. AP flags fired partially: ARG -3.120 (66th) confirmed rough_approach_liab; APP +4.379 (7th) compensated. Net result is within expected Tier 3 range.",N
"Thomas, Justin",4,49,39.1,T14,-14,Penalty/Gate miss (partial),"Rank 49 → T14. Wedge_liability fired (SG-APP -2.616, 56th in field). Should have missed top 20 from rank 49. Rescue mechanism: SG-ARG +6.257 (1st in field). Model correctly identified approach liability. ARG rescue was event-week variance; however engine should discount wedge_liability when ARG trait score >=70.",Y
"Cantlay, Patrick",4,21,49.6,T14,-14,Penalty/Gate miss (partial),"Rank 21 → T14. AP flags (bomb_and_spray; poor_birdie_conv) reduced him from Tier 3 to Tier 4. Bomb_and_spray partially fired (OTT -0.059, neutral). Poor_birdie_conv fired partially (PUTT +1.016, 28th). BUT SG-APP +4.314 (8th in field) drove outcome far above rank-49 floor. Anti-pattern over-suppressed given strong 12m SG-APP = +0.73.",Y
