player_name,rank,tier,headline,scouting_report,form_note,win_case,risk_vector,strength_tags,weakness_tags,course_fit_delta,baseline_sg,projected_sg,recent_true_sg_l20,vs_baseline_l20,raw_recent_starts
Scottie Scheffler,1,T1,"Balanced Profile, Thin Edge","Scottie Scheffler brings a baseline of 2.698 SG with a modeled 3M Open projection of 2.827. The venue fit sits near neutral at +0.058, so this week leans more on execution than on receiving free structural help from the course. Best signals: driving accuracy (+0.072), approach-zone scoring (+0.072), secondary fit traits (+0.032). Main leaks: distance leverage (-0.072), course-history calibration (-0.046).","Recent form: Travelers Championship 2; Genesis Scottish Open CUT; The Open Championship T4. His last-20 true SG is 2.70, and he is cooling off versus baseline (-0.41).","Scottie Scheffler's win path is built on driving accuracy (+0.072); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Scottie Scheffler's soft spots are distance leverage (-0.072), course-history calibration (-0.046), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['driving accuracy (+0.072)', 'approach-zone scoring (+0.072)', 'secondary fit traits (+0.032)']","['distance leverage (-0.072)', 'course-history calibration (-0.046)']",0.058,2.698,2.827,2.7,-0.41,pga-the memorial tournament presented by workday-T12_major-u.s. open-T4_pga-travelers championship-2_pga-genesis scottish open-CUT_major-the open championship-T4
Maverick McNealy,2,T1,"Balanced Profile, Thin Edge","Maverick McNealy brings a baseline of 1.169 SG with a modeled 3M Open projection of 1.205. The venue fit sits near neutral at -0.032, so this week leans more on execution than on receiving free structural help from the course. Best signals: timing signal (+0.074), course-history calibration (+0.047). Main leaks: distance leverage (-0.057), driving accuracy (-0.025).","Recent form: U.s. Open T32; Travelers Championship T55; The Open Championship CUT. His last-20 true SG is 1.32, and he is holding neutral versus baseline (-0.04).","Maverick McNealy's win path is built on timing signal (+0.074); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Maverick McNealy's soft spots are distance leverage (-0.057), driving accuracy (-0.025), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['timing signal (+0.074)', 'course-history calibration (+0.047)']","['distance leverage (-0.057)', 'driving accuracy (-0.025)']",-0.032,1.169,1.205,1.32,-0.04,major-pga championship-T18_pga-the memorial tournament presented by workday-T10_major-u.s. open-T32_pga-travelers championship-T55_major-the open championship-CUT
Kurt Kitayama,3,T1,"Course Comfort, Structural Friction","Kurt Kitayama brings a baseline of 1.096 SG with a modeled 3M Open projection of 1.162. The venue fit sits near neutral at -0.003, so this week leans more on execution than on receiving free structural help from the course. Best signals: course-history calibration (+0.071), timing signal (+0.036), secondary fit traits (+0.019). Main leaks: distance leverage (-0.092).","Recent form: Travelers Championship T25; Genesis Scottish Open T44; The Open Championship T40. His last-20 true SG is 1.15, and he is holding neutral versus baseline (-0.06).","Kurt Kitayama's win path is built on course-history calibration (+0.071); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Kurt Kitayama's soft spots are distance leverage (-0.092), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['course-history calibration (+0.071)', 'timing signal (+0.036)', 'secondary fit traits (+0.019)']",['distance leverage (-0.092)'],-0.003,1.096,1.162,1.15,-0.06,pga-the memorial tournament presented by workday-T22_major-u.s. open-T53_pga-travelers championship-T25_pga-genesis scottish open-T44_major-the open championship-T40
Hideki Matsuyama,4,T1,"Balanced Profile, Thin Edge","Hideki Matsuyama brings a baseline of 1.056 SG with a modeled 3M Open projection of 1.138. The venue fit sits near neutral at +0.046, so this week leans more on execution than on receiving free structural help from the course. Best signals: timing signal (+0.086), approach-zone scoring (+0.026).","Recent form: U.s. Open T65; Travelers Championship T14; The Open Championship T14. His last-20 true SG is 1.03, and he is cooling off versus baseline (-0.21).","Hideki Matsuyama's win path is built on timing signal (+0.086); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: there is no giant red flag, but the profile does not have much margin for a flat putting week.","['timing signal (+0.086)', 'approach-zone scoring (+0.026)']",[],0.046,1.056,1.138,1.03,-0.21,pga-charles schwab challenge-T13_pga-the memorial tournament presented by workday-T43_major-u.s. open-T65_pga-travelers championship-T14_major-the open championship-T14
Tom Kim,5,T1,"Hot Form, Exact Fit","Tom Kim brings a baseline of 0.794 SG with a modeled 3M Open projection of 1.120. This is a positive TPC Twin Cities build: the course-fit delta is +0.184, so his profile lines up with the birdie-heavy Twin Cities recipe more than field average. Best signals: timing signal (+0.110), approach-zone scoring (+0.088), driving accuracy (+0.036).","Recent form: John Deere Classic T46; Genesis Scottish Open 1; The Open Championship CUT. His last-20 true SG is 1.68, and he is heating up versus baseline (+1.24).","Tom Kim's win path is built on timing signal (+0.110); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: there is no giant red flag, but the profile does not have much margin for a flat putting week.","['timing signal (+0.110)', 'approach-zone scoring (+0.088)', 'driving accuracy (+0.036)']",[],0.184,0.794,1.12,1.68,1.24,pga-rbc canadian open-T15_major-u.s. open-3_pga-john deere classic-T46_pga-genesis scottish open-1_major-the open championship-CUT
Keith Mitchell,6,T1,"Balanced Profile, Thin Edge","Keith Mitchell brings a baseline of 0.849 SG with a modeled 3M Open projection of 0.898. The venue fit sits near neutral at +0.036, so this week leans more on execution than on receiving free structural help from the course. Best signals: course-history calibration (+0.098), approach-zone scoring (+0.043), timing signal (+0.018). Main leaks: distance leverage (-0.099), driving accuracy (-0.017).","Recent form: Travelers Championship T22; John Deere Classic T51; The Open Championship CUT. His last-20 true SG is 0.97, and he is heating up versus baseline (+0.22).","Keith Mitchell's win path is built on course-history calibration (+0.098); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Keith Mitchell's soft spots are distance leverage (-0.099), driving accuracy (-0.017), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['course-history calibration (+0.098)', 'approach-zone scoring (+0.043)', 'timing signal (+0.018)']","['distance leverage (-0.099)', 'driving accuracy (-0.017)']",0.036,0.849,0.898,0.97,0.22,pga-rbc canadian open-T29_major-u.s. open-T4_pga-travelers championship-T22_pga-john deere classic-T51_major-the open championship-CUT
Corey Conners,7,T1,"Balanced Profile, Thin Edge","Corey Conners brings a baseline of 0.758 SG with a modeled 3M Open projection of 0.884. The venue fit sits near neutral at +0.055, so this week leans more on execution than on receiving free structural help from the course. Best signals: timing signal (+0.119), driving accuracy (+0.056), secondary fit traits (+0.018). Main leaks: approach-zone scoring (-0.023).","Recent form: Travelers Championship T7; Genesis Scottish Open T52; The Open Championship T14. His last-20 true SG is 0.61, and he is holding neutral versus baseline (-0.04).","Corey Conners's win path is built on timing signal (+0.119); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Corey Conners's soft spots are approach-zone scoring (-0.023), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['timing signal (+0.119)', 'driving accuracy (+0.056)', 'secondary fit traits (+0.018)']",['approach-zone scoring (-0.023)'],0.055,0.758,0.884,0.61,-0.04,pga-rbc canadian open-CUT_major-u.s. open-T23_pga-travelers championship-T7_pga-genesis scottish open-T52_major-the open championship-T14
Doug Ghim,8,T1,"Hot Form, Exact Fit","Doug Ghim brings a baseline of 0.551 SG with a modeled 3M Open projection of 0.881. This is a positive TPC Twin Cities build: the course-fit delta is +0.379, so his profile lines up with the birdie-heavy Twin Cities recipe more than field average. Best signals: approach-zone scoring (+0.211), course-history calibration (+0.123), driving accuracy (+0.055). Main leaks: timing signal (-0.046), distance leverage (-0.019).","Recent form: Rbc Canadian Open T15; John Deere Classic T6; Genesis Scottish Open CUT. His last-20 true SG is 1.07, and he is heating up versus baseline (+0.70).","Doug Ghim's win path is built on approach-zone scoring (+0.211); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Doug Ghim's soft spots are timing signal (-0.046), distance leverage (-0.019), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['approach-zone scoring (+0.211)', 'course-history calibration (+0.123)', 'driving accuracy (+0.055)']","['timing signal (-0.046)', 'distance leverage (-0.019)']",0.379,0.551,0.881,1.07,0.7,pga-the cj cup byron nelson-T31_pga-charles schwab challenge-T28_pga-rbc canadian open-T15_pga-john deere classic-T6_pga-genesis scottish open-CUT
Jackson Koivun,9,T1,"Balanced Profile, Thin Edge","Jackson Koivun brings a baseline of 0.785 SG with a modeled 3M Open projection of 0.828. The venue fit sits near neutral at -0.039, so this week leans more on execution than on receiving free structural help from the course. Best signals: timing signal (+0.051), driving accuracy (+0.034). Main leaks: course-history calibration (-0.046), distance leverage (-0.030).","Recent form: U.s. Open T23; John Deere Classic CUT; Isco Championship T10. His last-20 true SG is 0.79, and he is cooling off versus baseline (-0.31).","Jackson Koivun's win path is built on timing signal (+0.051); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Jackson Koivun's soft spots are course-history calibration (-0.046), distance leverage (-0.030), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['timing signal (+0.051)', 'driving accuracy (+0.034)']","['course-history calibration (-0.046)', 'distance leverage (-0.030)']",-0.039,0.785,0.828,0.79,-0.31,am-ncaa athens regional-T10_am-ncaa di men's national championship stroke play-T10_major-u.s. open-T23_pga-john deere classic-CUT_pga-isco championship-T10
Jordan Smith,10,T1,Fairway-First Birdie Profile,"Jordan Smith brings a baseline of 0.553 SG with a modeled 3M Open projection of 0.800. This is a positive TPC Twin Cities build: the course-fit delta is +0.136, so his profile lines up with the birdie-heavy Twin Cities recipe more than field average. Best signals: approach-zone scoring (+0.139), timing signal (+0.084), driving accuracy (+0.066). Main leaks: course-history calibration (-0.046), distance leverage (-0.037).","Recent form: Rbc Canadian Open CUT; Genesis Scottish Open T21; The Open Championship T18. His last-20 true SG is 0.43, and he is holding neutral versus baseline (-0.03).","Jordan Smith's win path is built on approach-zone scoring (+0.139); if that travels for four rounds and the putter stays neutral, he has a real contention mechanism instead of just a hot-week hope.","Main risk: Jordan Smith's soft spots are course-history calibration (-0.046), distance leverage (-0.037), and that is where Twin Cities can expose him if the birdie pace gets aggressive.","['approach-zone scoring (+0.139)', 'timing signal (+0.084)', 'driving accuracy (+0.066)']","['course-history calibration (-0.046)', 'distance leverage (-0.037)']",0.136,0.553,0.8,0.43,-0.03,pga-the cj cup byron nelson-T59_pga-charles schwab challenge-T13_pga-rbc canadian open-CUT_pga-genesis scottish open-T21_major-the open championship-T18
